# TextPAIR modernization map: <historical form>	<modern form>
# One pair per line, tab-separated. Edit freely; the .mpk cache
# next to this file is rebuilt automatically when this file changes.
'a	he
'ban	caliban
'bout	about
'bove	above
'cagion	occasion
'cerns	concerns
'cide	decide
'cross	across
'faith	i'faith
'fayth	i'faith
'fore	before
'forehand	beforehand
'gainst	against
'gan	began
'gin	begin
'gins	gins
'gree	agree
'greed	agreed
'greeing	agreeing
'ild	yield
'larum	alarum
'larum-bell	alarm-bell
'larums	alarums
'leges	alleges
'leven	eleven
'long	along
'longed	belonged
'longeth	belongeth
'longing	belonging
'longs	belongs
'mong	among
'mongst	amongst
'nointed	anointed
'od's	god's
'old	wold
'oman	woman
'omans	woman's
'orld	world
'our	our
'parel	apparel
'pear	appear
'pless	bless
'point	appoint
'point'st	appointest
'pointed	appointed
'pointing	appointing
'prentice	apprentice
'prentices	prentices
'rested	arrested
'rests	arrests
'save	save
'sayed	assayed
'schew	eschew
'scuse	excuse
'scuses	excuses
'shrew	beshrew
'stroyed	destroyed
't	it
'tame	attame
'ticed	enticed
'tide	betide
'tween	between
'twixt	twixt
'twou'd	'twoved
've	have
'voided	avoided
'warrant	warrant
-trauailer	traveller
.ii.	ii
.iii.	iii
.iiii	iiii
.iiii.	iiii
.iiij.	iiij
.iij.	iij
.ij.	ij
.v.	u
.vi.	vi
.viii.	viii
.viij.	viij
.vj.	uj
.x.	x
.xii.	xii
.xiii.	xiii
.xij.	xij
.xviii.	xviii
.xvj.	xuj
.xx.	xx
.xxiiij	xxiiij
.xxvij.	xxvij
.xxxiii.	xxxiii
2d.	twopence
6d.	sixpence
a'	of
a'my	ah-my
a-bed	abed
a-cold	acold
a-crosse	across
a-doing	adoing
a-down	adown
a-down-a	adown
a-fire	afire
a-floate	afloat
a-front	afront
a-going	agoing
a-height	height
a-high	high
a-hold	ahold
a-hungry	hungry
a-kin	akin
a-laid	alaid
a-land	aland
a-late	alate
a-like	alike
a-liue	alive
a-live	alive
a-long	along
a-man	amam
a-mercy	amercy
a-new	anew
a-night	anight
a-nights	anights
a-part	apart
a-piece	apiece
a-pieces	apieces
a-pox	apox
a-round	around
a-shore	ashore
a-skance	askance
a-sleepe	asleep
a-sleeping	asleeping
a-squint	asquint
a-sunder	asunder
a-tilt	atilt
a-top	atop
a-way	away
a-while	awhile
a-work	awork
a-worke	awork
aad	and
aaway	away
abacke	aback
abandon'd	abandoned
abandond	abandoned
abandone	abandon
abas'd	abased
abash'd	abashed
abashe	abash
abasht	abashed
abbat	abbot
abbesse	abbess
abbetting	abetting
abbeyes	abbeys
abbies	abbeys
abbominable	abominable
abbotes	abbots
abbreuiate	abbreviate
abbridge	abridge
abby	abbey
abbyes	abbeys
abette	abet
abhominable	abominable
abhominably	abominably
abhomination	abomination
abhominations	abominations
abhomynable	abominable
abhomynacyon	abomination
abhomynacyons	abominations
abhor'd	abhorred
abhord	abhorred
abhorde	abhorred
abhore	abhor
abhorr	abhor
abhorr'd	abhorred
abhorr's	abhor's
abhorre	abhor
abhorredst	abhorredest
abhorres	abhors
abhorrid	abhorred
abhorrs	abhors
