# TextPAIR modernization map: <historical form>	<modern form>
# One pair per line, tab-separated. Edit freely; the .mpk cache
# next to this file is rebuilt automatically when this file changes.
aa	as
aage	âge
aages	âges
aagé	âgé
abailard	abellard
abaillard	abellard
abaissans	abaissants
abaissast	abaissât
abaissay	abaissai
abaissee	abaissée
abaissemens	abaissements
abaisseray	abaisserai
abaisserent	abaissèrent
abaisseroient	abaisseraient
abaisserois	abaisserais
abaisseroit	abaisserait
abaissoient	abaissaient
abaissois	abaissais
abaissoit	abaissait
abandonent	abandonnent
abandoner	abandonner
abandonera	abandonnera
abandoneroit	abandonnerait
abandoneront	abandonneront
abandonez	abandonnez
abandonnast	abandonnât
abandonnay	abandonnai
abandonnee	abandonnée
abandonnees	abandonnées
abandonneray	abandonnerai
abandonnerent	abandonnèrent
abandonneroient	abandonneraient
abandonnerois	abandonnerais
abandonneroit	abandonnerait
abandonnoient	abandonnaient
abandonnois	abandonnais
abandonnoit	abandonnait
abandonnoyent	abandonnaient
abandonnérent	abandonnèrent
abandonoit	abandonnait
abandonons	abandonnons
abandoné	abandonné
abandonée	abandonnée
abandonées	abandonnées
abandonés	abandonnés
abastardi	abâtardi
abastardie	abâtardie
abastardies	abâtardies
abastardir	abâtardir
abastardis	abâtardis
abastardissant	abâtardissant
abastardisse	abâtardisse
abastardissement	abâtardissement
abastardissent	abâtardissent
abastardissons	abâtardissons
abastardit	abâtardit
abastardy	abâtardi
abastre	abattre
abatans	abattants
abatardi	abâtardi
abatardie	abâtardie
abatardir	abâtardir
abatardis	abâtardis
abatardissement	abâtardissement
abatardissent	abâtardissent
abatardissez	abâtardissez
abatardissoit	abâtardissait
abatardist	abâtardît
abatement	abattement
abateur	abatteur
abateurs	abatteurs
abatist	abatît
abatoient	abataient
abatoit	abatait
abatray	abatrai
abatroit	abatrait
abattans	abattants
abattoient	abattaient
abattois	abattais
abattoit	abattait
abattroient	abattraient
abattroit	abattrait
abattuë	abattue
abattuës	abattues
abattüe	abattue
abatuë	abattue
abatuës	abattues
abatüe	abattue
abatües	abattues
abayant	aboyant
abaye	abbaye
abayes	abbayes
abaïllard	abellard
abbaie	abbaye
abbaissa	abaissa
abbaissai	abaissai
abbaissant	abaissant
abbaissassiez	abaissassiez
abbaissay	abaissai
abbaisse	abaisse
abbaissemens	abaissements
abbaissement	abaissement
abbaissent	abaissent
abbaisser	abaisser
abbaissera	abaissera
abbaisserez	abaisserez
abbaisseroit	abaisserait
abbaisses	abaisses
abbaissez	abaissez
abbaissiez	abaissiez
abbaissoient	abaissaient
abbaissois	abaissais
abbaissoit	abaissait
abbaissons	abaissons
abbaissâmes	abaissâmes
abbaissât	abaissât
abbandon	abandon
abbandonnai	abandonnai
abbandonnant	abandonnant
abbandonne	abandonne
abbandonnent	abandonnent
abbandonner	abandonner
abbandonnera	abandonnera
abbandonneroient	abandonneraient
abbandonnez	abandonnez
abbandonnoient	abandonnaient
abbandonnoit	abandonnait
abbandonné	abandonné
abbandonnérent	abandonnèrent
abbandonée	abandonnée
abbatait	abattait
abbatant	abattant
abbatemens	abattements
abbatement	abattement
abbatent	abattent
abbateur	abatteur
abbateurs	abatteurs
abbatez	abattez
abbatiez	abattiez
abbations	abattions
abbatirent	abattirent
abbatissent	abattissent
abbatit	abattit
abbatoient	abattaient
abbatoit	abattait
abbatra	abattra
abbatrai	abattrai
abbatray	abattrai
abbatre	abattre
abbatrez	abattrez
abbatroit	abattrait
abbattement	abattement
abbatteur	abatteur
abbattoient	abbattaient
abbattoit	abbattait
abbattray	abbattrai
abbattroit	abbattrait
abbattuë	abbattue
abbattuës	abbattues
abbatît	abattît
abbaïe	abbaye
abbe	abbé
abbeille	abeille
abbez	abbés
abbois	abois
abbord	abord
abbordant	abordant
abborde	aborde
abbordent	abordent
abborder	aborder
abborderent	abordèrent
abbordoient	abordaient
abbords	abords
abbouchant	abouchant
abbouchee	abouchée
abboucher	aboucher
abbouchez	abouchez
abboutir	aboutir
abboutissoit	aboutissait
abboutit	aboutit
abboyant	aboyant
abboyante	aboyante
abboyants	aboyants
abboye	aboie
abboyement	aboiement
abboyer	aboyer
abboyoient	aboyaient
abboyé	aboyé
abbregeant	abrégeant
abbregees	abrégées
abbregera	abrégera
abbregerent	abrégèrent
abbregé	abrégé
abbreuuée	abreuvée
abbreuva	abreuva
abbreuve	abreuve
abbreuvee	abreuvée
abbreuvees	abreuvées
abbreuvent	abreuvent
abbreuver	abreuver
abbreuvez	abreuvez
abbreuvoir	abreuvoir
abbreuvoit	abreuvait
abbreuvé	abreuvé
abbreuvée	abreuvée
abbreuvées	abreuvées
abbreuvés	abreuvés
abbreviateur	abréviateur
abbreviations	abréviations
abbrevie	abrévié
abbrutie	abrutie
abbrutis	abrutis
abbrutissent	abrutissent
abbruvee	abreuvée
abbruver	abreuver
abbruvera	abreuvera
abbrégé	abrégé
abbréviateur	abréviateur
abcisses	abscisses
abcés	abcès
abderitains	abdéritains
abdiquerent	abdiquèrent
abdiqueroient	abdiqueraient
abdiqueroit	abdiquerait
abdiquoient	abdiquaient
abdiquoit	abdiquait
abe	abbé
abecedaire	abécédaire
abecha	abécha
abeche	abèche
abecé	abécé
abellart	abellard
abevile	abbeville
abez	abbés
abhominable	abominable
abhominables	abominables
abhominant	abominant
abhomination	abomination
abhomine	abomine
abhominer	abominer
abhominerent	abominèrent
abhomines	abomines
abhoraient	abhorraient
abhorent	abhorrant
abhorer	abhorrer
abhorerez	abhorrerez
abhorez	abhorrez
abhoroient	abhorraient
abhorree	abhorrée
abhorroient	abhorraient
abhorrois	abhorrais
abhorroit	abhorrait
abhorée	abhorrée
abiect	abject
abiectes	abjectes
abiection	abjection
abiects	abjects
abile	habile
abille	habille
abimai	abîmai
abimait	abîmait
abime	abîme
abimelec	abimelech
abiment	abîment
abimer	abîmer
abimerait	abîmerait
abimes	abîmes
abimoient	abîmaient
abimât	abîmât
abimé	abîmé
abimée	abîmée
abimées	abîmées
abimélec	abimelech
abimélech	abimelech
abimés	abîmés
abismant	abîmant
abisme	abîme
abismees	abîmées
abisment	abîment
abismera	abîmera
abismes	abîmes
abismé	abîmé
abismée	abîmée
abismées	abîmées
abissin	abyssin
abissins	abyssins
abits	habits
abiuré	abjuré
abjureroit	abjurerait
abjuroient	abjuraient
abjurois	abjurais
abjuroit	abjurait
abnegation	abnégation
aboiemens	aboiements
aboliray	abolirai
aboliroit	abolirait
abolissoient	abolissaient
abolissoit	abolissait
abolist	abolît
abolitioniste	abolitionniste
abollissement	abolissement
aboly	aboli
abominoient	abominaient
abominois	abominais
abondament	abondamment
abondanment	abondamment
abondans	abondants
abondast	abondât
abondemment	abondamment
abonderoit	abonderait
abondoient	abondaient
abondoit	abondait
aboni	abonni
abonir	abonnir
abonit	abonnit
abonnemens	abonnements
abonnoit	abonnait
abordast	abordât
aborday	abordai
abordee	abordée
aborderent	abordèrent
aborderoient	aborderaient
aborderois	aborderais
aborderoit	aborderait
abordoient	abordaient
abordois	abordais
abordoit	abordait
abordérent	abordèrent
aborigénes	aborigènes
abornemens	abornements
abouchay	abouchai
abouchemens	abouchements
aboucherent	abouchèrent
aboutiroient	aboutiraient
aboutiroit	aboutirait
aboutissans	aboutissants
aboutissemens	aboutissements
aboutissoient	aboutissaient
aboutissoit	aboutissait
aboy	aboi
aboyans	aboyants
aboye	aboie
aboyemens	aboiements
aboyement	aboiement
aboyerai	aboierai
aboyoient	aboyaient
aboyoit	aboyait
abre	arbre
abregea	abrégea
abregeant	abrégeant
abregeement	abrégément
abregees	abrégées
abregement	abrégement
abregent	abrègent
abregeois	abrégeais
abregeoit	abrégeait
abregeons	abrégeons
abreger	abréger
abregera	abrégera
abregeray	abrégerai
abregerent	abrégèrent
abregeroient	abrégeraient
abregeroit	abrégerait
abregeront	abrégeront
abregez	abrégez
abregeât	abrégeât
abregiez	abrégiez
abregé	abrégé
abregée	abrégée
abregées	abrégées
abregés	abrégés
abreuuant	abreuvant
abreuuoir	abreuvoir
abreuvee	abreuvée
abreuveray	abreuverai
abreuverois	abreuverais
abreuveroit	abreuverait
abreuvoient	abreuvaient
abreuvois	abreuvais
abreuvoit	abreuvait
abrevement	abrèvement
abreviateur	abréviateur
abreviations	abréviations
abreviez	abréviés
abrevié	abrévié
abreviés	abréviés
abrevoir	abreuvoir
abriast	abriât
abrieroit	abrierait
abriterent	abritèrent
abritoient	abritaient
abritoit	abritait
abrogee	abrogée
abrogees	abrogées
abrogeoient	abrogeaient
abrutissans	abrutissants
abrutissemens	abrutissements
abrutist	abrutît
abruty	abruti
abruvee	abreuvée
abruver	abreuver
abruvoient	abreuvaient
abruvoir	abreuvoir
abruvoirs	abreuvoirs
abruvé	abreuvé
abruzze	abruzzes
abry	abri
abrègement	abrégement
abrégent	abrègent
abrégeoient	abrégeaient
abrégeois	abrégeais
abrégeoit	abrégeait
abrégerent	abrégèrent
abrégeroient	abrégeraient
abrégerois	abrégerais
abrégeroit	abrégerait
absalons	absalon
absance	absence
abscence	absence
absentast	absentât
absentees	absentées
absenteroit	absenterait
absentoient	absentaient
absentoit	absentait
absoluement	absolument
absoluë	absolue
absoluëment	absolument
absoluës	absolues
absolvoient	absolvaient
absolvoit	absolvait
absolûment	absolument
absolüe	absolue
absolüement	absolument
absolües	absolues
absorbans	absorbants
absorberoient	absorberaient
absorberoit	absorberait
absorboient	absorbaient
absorboit	absorbait
absoudray	absoudrai
absoudroient	absoudraient
absoudroit	absoudrait
absoulte	absoute
abstenans	abstenants
abstenoient	abstenaient
abstenois	abstenais
abstenoit	abstenait
abstenuë	abstenue
abstiendray	abstiendrai
abstiendroient	abstiendraient
abstiendrois	abstiendrais
abstiendroit	abstiendrait
abstinance	abstinence
abstinances	abstinences
abstrairoit	abstrairait
abstêmes	abstèmes
absurditez	absurdités
abusans	abusants
abusast	abusât
abusay	abusai
abusee	abusée
abuseray	abuserai
abuserent	abusèrent
abuseroient	abuseraient
abuserois	abuserais
abuseroit	abuserait
abusoient	abusaient
abusois	abusais
abusoit	abusait
abusoyent	abusaient
abusça	abusa
abusérent	abusèrent
abyme	abîme
abyment	abîment
abymer	abîmer
abymera	abîmera
abymes	abîmes
abymoit	abîmait
abymé	abîmé
abymée	abîmée
abymées	abîmées
abymés	abîmés
abysme	abîme
abysmee	abîmée
abysment	abîment
abysmera	abîmera
abysmes	abîmes
abysmée	abîmée
abysmées	abîmées
abâtardiroit	abâtardirait
abâtardissemens	abâtardissements
abé	abbé
abés	abbés
abétissante	abêtissante
abîmerent	abîmèrent
abîmeroit	abîmerait
abîmoient	abîmaient
abîmois	abîmais
abîmoit	abîmait
acabla	accabla
acablans	accablants
